id,apellidos,nombres,dni,grado,seccion,turno
2,Mamani Quispe,María Elena,74982134,1ro,A,Mañana
3,Torres Huanca,Pedro Alonso,75123890,1ro,B,Tarde
4,Condori Flores,Ana Lucía,73654218,2do,A,Mañana
5,Vargas Mendoza,Carlos,76018234,2do,B,Tarde
6,Apaza Quispe,Rodrigo,71000001,1ro,A,Mañana
7,Flores Martinez,Diana,70123456,1ro,C,Tarde
8,Ramirez Rojas,Messi,74813373,2do,A,Mañana
9,Gomez Huaman,Lucía Fernanda,75234189,3ro,B,Tarde
10,Quispe Medina,Carlos Andrés,74128956,1ro,C,Mañana
11,Torres Salazar,Valentina Ríos,76984512,5to,A,Tarde
12,Mendoza Flores,Diego Alonso,73456128,4to,D,Mañana
13,Castillo Vega,Mariana López,75891234,2do,B,Tarde
14,Rojas Paredes,Sebastián Cruz,74672345,6to,C,Mañana
15,Huanca Ramos,Daniela Torres,73114567,3ro,A,Tarde
16,Vargas León,Mateo Gutiérrez,76543218,1ro,D,Mañana
17,Chávez Núñez,Renata Silva,74999881,5to,B,Tarde
18,Salinas Ortiz,Joaquín Herrera,75321678,4to,C,Mañana
